DDP: I am worker 0 of 1. My local rank is 0
=> Dummy data is used!
start training
[METRIC] [2024-06-22T06:53:29.712179] Step 93 Rank 0 processed 400 samples in 0.4398 seconds
[METRIC] [2024-06-22T06:53:30.153309] Step 94 Rank 0 processed 400 samples in 0.4411 seconds
[METRIC] [2024-06-22T06:53:30.593658] Step 95 Rank 0 processed 400 samples in 0.4403 seconds
[METRIC] [2024-06-22T06:53:31.034994] Step 96 Rank 0 processed 400 samples in 0.4413 seconds
[METRIC] [2024-06-22T06:53:31.475750] Step 97 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:31.916481] Step 98 Rank 0 processed 400 samples in 0.4407 seconds
[METRIC] [2024-06-22T06:53:32.358142] Step 99 Rank 0 processed 400 samples in 0.4416 seconds
[METRIC] [2024-06-22T06:53:32.797917] Step 100 Rank 0 processed 400 samples in 0.4397 seconds
Throughput: 898.119 images/s, Batch size: 400, Num of GPUs: 1, Total time: 45.359 s, Average batch time: 0.449 s, First batch time: 1.267 s
[METRIC] [2024-06-22T06:53:32.798091] Finished epoch 1
[METRIC] AU[1] (%): 99.9399
[METRIC] Throughput (samples/second): 907.1609
[METRIC] Compute time per step (s): 0.4407 (0.0025)
start training
[METRIC] [2024-06-22T06:53:35.169411] Step 0 Rank 0 processed 400 samples in 1.5405 seconds
[METRIC] [2024-06-22T06:53:35.611559] Step 1 Rank 0 processed 400 samples in 0.4421 seconds
[METRIC] [2024-06-22T06:53:36.048118] Step 2 Rank 0 processed 400 samples in 0.4365 seconds
[METRIC] [2024-06-22T06:53:36.505992] Step 3 Rank 0 processed 400 samples in 0.4578 seconds
[METRIC] [2024-06-22T06:53:36.932278] Step 4 Rank 0 processed 400 samples in 0.4262 seconds
[METRIC] [2024-06-22T06:53:37.371396] Step 5 Rank 0 processed 400 samples in 0.4391 seconds
[METRIC] [2024-06-22T06:53:37.812543] Step 6 Rank 0 processed 400 samples in 0.4411 seconds
[METRIC] [2024-06-22T06:53:38.255098] Step 7 Rank 0 processed 400 samples in 0.4425 seconds
[METRIC] [2024-06-22T06:53:38.694225] Step 8 Rank 0 processed 400 samples in 0.4391 seconds
[METRIC] [2024-06-22T06:53:39.134880] Step 9 Rank 0 processed 400 samples in 0.4406 seconds
[METRIC] [2024-06-22T06:53:39.575924] Step 10 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:40.016950] Step 11 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:40.457817] Step 12 Rank 0 processed 400 samples in 0.4408 seconds
[METRIC] [2024-06-22T06:53:40.898299] Step 13 Rank 0 processed 400 samples in 0.4404 seconds
[METRIC] [2024-06-22T06:53:41.339303] Step 14 Rank 0 processed 400 samples in 0.4410 seconds
[METRIC] [2024-06-22T06:53:41.780749] Step 15 Rank 0 processed 400 samples in 0.4414 seconds
